model,n,endpoint,hormone,increment,unit,beta_log_odds,OR,CI95_low,CI95_high,design_df,weighted_endpoint_fraction,partner_conditioned,estradiol_conditioned,design
TT_age_BMI_cycle_session,2982,weekly_vaginal_or_anal_sex,LBXTST,100,ng/dL,-0.005616455419787118,0.9943992873792552,0.927897881792286,1.0656667744842685,47,0.39770317954901513,False,False,weighted cross-sectional complete-case exploratory association
TT_plus_partner,2981,weekly_vaginal_or_anal_sex,LBXTST,100,ng/dL,0.03423494036752825,1.034827700971069,0.9638033831119454,1.1110859221508742,47,0.3977690542902928,True,False,weighted cross-sectional complete-case exploratory association
TT_plus_partner_E2_SHBG,1816,weekly_vaginal_or_anal_sex,LBXTST,100,ng/dL,0.03289537432646493,1.0334424089767043,0.9107443073204582,1.1726707530171603,30,0.40531212588552684,True,True,weighted cross-sectional complete-case exploratory association
cFT_plus_partner_E2,1814,weekly_vaginal_or_anal_sex,calculated_free_testosterone_pmol_l,100,pmol/L calculated free T,0.022964391981133935,1.0232301037016802,0.8725724862865014,1.1999001361791486,30,0.40526735019690413,True,True,weighted cross-sectional complete-case exploratory association
TT_never_sex_zero_sensitivity,3150,weekly_sex_with_verified_never_zero,LBXTST,100,ng/dL,0.03571945930481962,1.0363650631292767,0.9642083477780178,1.1139216400169774,47,0.3794295643941575,True,False,weighted cross-sectional complete-case exploratory association
